batch,loss,ACC
1,0.6496907472610474,0.4161849710982659
690,0.24841614067554474,0.7976878612716763
0,<<epoch || averaged loss>>,0.8981068879365921
1,0.1362455040216446,0.7947976878612717
690,2.307422637939453,0.7947976878612717
1,<<epoch || averaged loss>>,2.4436681419610977
1,0.276336133480072,0.8208092485549133
690,0.3102172911167145,0.8323699421965318
2,<<epoch || averaged loss>>,0.5865534245967865
1,0.21935458481311798,0.8265895953757225
690,2.9018595218658447,0.846820809248555
3,<<epoch || averaged loss>>,3.1212141066789627
1,0.2669737637042999,0.8323699421965318
690,0.17121875286102295,0.8121387283236994
4,<<epoch || averaged loss>>,0.4381925165653229
1,0.10609350353479385,0.8265895953757225
690,0.038136616349220276,0.8988439306358381
5,<<epoch || averaged loss>>,0.14423011988401413
1,0.08522273600101471,0.9017341040462428
690,0.08098804950714111,0.8323699421965318
6,<<epoch || averaged loss>>,0.16621078550815582
1,0.10488633066415787,0.838150289017341
690,0.11128778755664825,0.8670520231213873
7,<<epoch || averaged loss>>,0.21617411822080612
1,0.06941144913434982,0.8641618497109826
690,0.04370329529047012,0.8583815028901735
8,<<epoch || averaged loss>>,0.11311474442481995
1,0.186336949467659,0.8641618497109826
690,0.7816747426986694,0.869942196531792
9,<<epoch || averaged loss>>,0.9680116921663284
1,0.02507134899497032,0.8786127167630058
690,1.729051113128662,0.8294797687861272
10,<<epoch || averaged loss>>,1.7541224621236324
1,0.9798133373260498,0.8410404624277457
690,0.06638766825199127,0.7687861271676301
11,<<epoch || averaged loss>>,1.046201005578041
1,0.512531578540802,0.7514450867052023
690,0.8249922394752502,0.8757225433526011
12,<<epoch || averaged loss>>,1.3375238180160522
1,0.12896737456321716,0.8670520231213873
690,0.28354495763778687,0.8641618497109826
13,<<epoch || averaged loss>>,0.41251233220100403
1,0.04476439580321312,0.8583815028901735
690,0.29533761739730835,0.8670520231213873
14,<<epoch || averaged loss>>,0.34010201320052147
1,0.10283219814300537,0.861271676300578
690,0.04938264191150665,0.8526011560693642
15,<<epoch || averaged loss>>,0.15221484005451202
1,0.01846795156598091,0.8497109826589595
690,0.2801644504070282,0.884393063583815
16,<<epoch || averaged loss>>,0.2986324019730091
1,0.03907154127955437,0.8815028901734104
690,0.03355300426483154,0.9017341040462428
17,<<epoch || averaged loss>>,0.07262454554438591
1,0.10052194446325302,0.8988439306358381
690,0.17727653682231903,0.846820809248555
18,<<epoch || averaged loss>>,0.27779848128557205
1,0.33428844809532166,0.8497109826589595
690,0.06629221141338348,0.7832369942196532
19,<<epoch || averaged loss>>,0.40058065950870514
1,0.3622947633266449,0.7832369942196532
690,0.0177285335958004,0.9132947976878613
20,<<epoch || averaged loss>>,0.3800232969224453
1,0.019103532657027245,0.9161849710982659
690,0.4799134135246277,0.8497109826589595
21,<<epoch || averaged loss>>,0.49901694618165493
1,0.012556447647511959,0.846820809248555
690,0.2656781077384949,0.838150289017341
22,<<epoch || averaged loss>>,0.27823455538600683
1,0.11026701331138611,0.8294797687861272
690,0.35852745175361633,0.9046242774566474
23,<<epoch || averaged loss>>,0.46879446506500244
1,0.12065307796001434,0.8959537572254336
690,0.03638767823576927,0.9190751445086706
24,<<epoch || averaged loss>>,0.15704075619578362
1,0.5497456192970276,0.9132947976878613
690,0.9715008735656738,0.884393063583815
25,<<epoch || averaged loss>>,1.5212464928627014
1,0.4378851056098938,0.9075144508670521
690,0.025043949484825134,0.8988439306358381
26,<<epoch || averaged loss>>,0.46292905509471893
1,0.2708010971546173,0.8988439306358381
690,0.08389660716056824,0.8728323699421965
27,<<epoch || averaged loss>>,0.35469770431518555
1,0.3835560083389282,0.8815028901734104
690,0.05162496492266655,0.8786127167630058
28,<<epoch || averaged loss>>,0.4351809732615948
1,0.04040088504552841,0.8872832369942196
690,0.011792460456490517,0.884393063583815
29,<<epoch || averaged loss>>,0.05219334550201893
1,0.578872799873352,0.8959537572254336
690,1.7733495235443115,0.9161849710982659
30,<<epoch || averaged loss>>,2.3522223234176636
1,0.2769371271133423,0.9335260115606936
690,0.12040218710899353,0.9075144508670521
